,日本語,英語,中国語,ポルトガル語,モンゴル語
1,元の神,God of Origin,宇宙元神,Deus original,Эх бурхан
2,実の神,God in Truth,万界真神,Deus verdadeiro,Үнэн бурхан
3,神のやしろ,Shrine of God,神龛,Sacrário de Tsukihi,Бурханы яширо буюу бурханы гэр
4,「我は元の神・実の神である。」,"""I am God of Origin, God in Truth.""",“吾乃宇宙元神、万界真神。”,"Eu sou Deus original, o Deus verdadeiro","Би бол Эх бурхан, үнэн бурхан"
5,「この屋敷にいんねんあり。」,"""There is causality in this Residence."" ",“此宅院因有元始因缘。”,Nesta casa há predestinação,Энэ өргөө хувь тавилантай
6,「このたび、世界一れつをたすけるために天降った。」,"""At this time, I have descended here to save all humankind.""",“今为拯救世人而降临。”,"Desta vez, revelei-me neste mundo para salvar toda a humanidade",Энэ удаа ертөнцийн хүн төрөлхтнийг аврахын төлөө тэнгэрээс буун ирлээ
7,「みきを神のやしろに貰い受けたい。」,"""I wish to receive Miki as the Shrine of God.""",“欲纳美伎为神龛。”,Desejo ter Miki como meu Sacrário,Микиг Яширогоо болгон авахыг хүсч байна
8,天理王命,Tenri-O-no-Mikoto,天理欧诺弥格多,Tenri-Ô-no-Mikoto,Тэнри-Оо-но-Микото
9,親神様,God the Parent,父母神,Deus-Parens,Эцэг эх бурхан
10,教祖,Oyasama,教祖,Oyassama,Оясама
11,寛政10年4月18日,"April 18, 1798",宽政10年4月18日,18 de abril de 1798,1798 оны 4-р сарын 18-ны өдөр
12,ぢばさだめ,(the) identification of Jiba,确定原地,A identificação da Jiba,Жиба тогтоох
13,たすけ一条の道,(the) path of single-hearted salvation,专心拯救之道,O caminho da dedicação única à salvação,Нэгэн сэтэгэлээр аврахын зам
14,陽気ぐらし,(the) Joyous Life,康乐生活,A Vida Plena de Alegria e Felicidade,Энх баясгалант амьдрал
15,陽気遊山,joyous life,康乐之生活,As recreações alegres,Энх баясгалант амьдрал
16,自由自在の働き,free and unlimited workings,自由自在的佑护,Os trabalhos onipotentes,хязгааргүй ивээл
17,貧のどん底に落ち切る,fall to the depths of poverty,彻底走在赤贫之道,Mergulhar na profunda pobreza,Ядуугийн туйлд унах
18,証拠まもり,(the) Proof Amulet,证据神符,O amuleto prova,нотолгоо сахиус
19,をびや許し,(the) Grant of Safe Childbirth,安产神许,A permissão do Parto Feliz,Эсэн мэнд амаржуулах хишиг
20,お米の御供（ごく）,sacred rice,神米,O arroz abençoado,өргөл удаа Гоку
21,思召,divine intention,神意,A intenção,бурханы бодол санаа
22,ほこり,dust,灰尘；心尘,A poeira,(сэтгэлийн)тоос 
23,ほおき,broom,扫把,A vassoura,шүүр
24,心の成人,spiritual growth,心灵成长,A evolução espiritual,сүсэг бишрэл дээшлэх
25,赤衣を召す,wear a red kimono,穿上红衣,Vestir quimono vermelho,улаан кимоно өмсөх
26,道すがら,journey,历程；过程,A caminhada,сүсэг бишрэлийн зам/ Оясамагийн туулсан замдаа
27,教祖ご在世時,when Oyasama was physically present,教祖在世时,Oyassama estava presente fisicamante,Оясама махан биеэсээ гарахын өмнө
28,親里,(the) Home of the Parent,亲里,A terra parental,Оясато
29,神名,name of God,神名,O nome divino,бурханы нэр
30,親心,parental love,父母慈心,O amor parental,Эцэг эхийн сэтгэл/хайр
